id,komentar,platform
546,Cocok buat pelajar dan profesional.,PlayStore
547,"Promonya mantap, langsung checkout.",Twitter
548,"Beli karena lihat di Twitter, worth it!",Twitter
549,Desain UI sangat menarik.,PlayStore
550,"Beli karena lihat di Twitter, worth it!",Twitter
551,"Lihat di IG story teman, jadi penasaran.",Instagram
552,Produk ini viral banget di Instagram!,Instagram
553,"Lihat di IG story teman, jadi penasaran.",Instagram
554,"Sering force close, mohon diperbaiki.",PlayStore
555,"Unboxing-nya estetik banget, suka 😍",Instagram
556,"Promonya mantap, langsung checkout.",Twitter
557,Fiturnya lengkap dan mudah digunakan.,PlayStore
558,User experience-nya beda dari yang lain.,Twitter
559,Lagi rame bahas ini di timeline 😁,Twitter
560,"Sering force close, mohon diperbaiki.",PlayStore
561,"Promonya mantap, langsung checkout.",Twitter
562,"Sering force close, mohon diperbaiki.",PlayStore
563,"Baru coba produk ini, ternyata oke juga!",Twitter
564,"Sesuai deskripsi, sangat puas.",E-Commerce
565,Lagi rame bahas ini di timeline 😁,Twitter
566,Desain UI sangat menarik.,PlayStore
567,Lagi rame bahas ini di timeline 😁,Twitter
568,Aplikasi ini sangat membantu!,PlayStore
569,Lagi rame bahas ini di timeline 😁,Twitter
570,"Lihat di IG story teman, jadi penasaran.",Instagram
571,Harga terjangkau dan berkualitas.,E-Commerce
572,Suka banget sama warnanya!,Instagram
573,"Baru coba produk ini, ternyata oke juga!",Twitter
574,"Barang cacat saat datang, kecewa.",E-Commerce
575,"Promonya mantap, langsung checkout.",Twitter
576,"Lihat di IG story teman, jadi penasaran.",Instagram
577,Fiturnya lengkap dan mudah digunakan.,PlayStore
578,"Beli karena lihat di Twitter, worth it!",Twitter
579,Suka banget sama warnanya!,Instagram
580,"Beli karena lihat di Twitter, worth it!",Twitter
581,"Sering force close, mohon diperbaiki.",PlayStore
582,"Lihat di IG story teman, jadi penasaran.",Instagram
583,Lagi rame bahas ini di timeline 😁,Twitter
584,"Barang cacat saat datang, kecewa.",E-Commerce
585,"Barang cacat saat datang, kecewa.",E-Commerce
586,"Produk datang tepat waktu, kualitas oke.",E-Commerce
587,Beli karena lihat review di reels.,Instagram
588,Packing rapi dan pengiriman cepat.,E-Commerce
589,"Produk datang tepat waktu, kualitas oke.",E-Commerce
590,"Barang cacat saat datang, kecewa.",E-Commerce
591,Cocok buat pelajar dan profesional.,PlayStore
592,"Barang cacat saat datang, kecewa.",E-Commerce
593,Harga terjangkau dan berkualitas.,E-Commerce
594,"Promonya mantap, langsung checkout.",Twitter
595,Aplikasi ini sangat membantu!,PlayStore
596,"Unboxing-nya estetik banget, suka 😍",Instagram
597,"Promonya mantap, langsung checkout.",Twitter
598,"Unboxing-nya estetik banget, suka 😍",Instagram
599,"Sering force close, mohon diperbaiki.",PlayStore
600,"Promonya mantap, langsung checkout.",Twitter
601,"Lihat di IG story teman, jadi penasaran.",Instagram
602,Desain UI sangat menarik.,PlayStore
603,Beli karena lihat review di reels.,Instagram
604,"Sesuai deskripsi, sangat puas.",E-Commerce
605,"Barang cacat saat datang, kecewa.",E-Commerce
606,Fiturnya lengkap dan mudah digunakan.,PlayStore
607,"Barang cacat saat datang, kecewa.",E-Commerce
608,"Sesuai deskripsi, sangat puas.",E-Commerce
609,"Baru coba produk ini, ternyata oke juga!",Twitter
610,User experience-nya beda dari yang lain.,Twitter
611,"Promonya mantap, langsung checkout.",Twitter
612,"Sesuai deskripsi, sangat puas.",E-Commerce
613,Suka banget sama warnanya!,Instagram
614,Produk ini viral banget di Instagram!,Instagram
615,Suka banget sama warnanya!,Instagram
616,Aplikasi ini sangat membantu!,PlayStore
617,"Barang cacat saat datang, kecewa.",E-Commerce
618,"Beli karena lihat di Twitter, worth it!",Twitter
619,Aplikasi ini sangat membantu!,PlayStore
620,Fiturnya lengkap dan mudah digunakan.,PlayStore
621,"Unboxing-nya estetik banget, suka 😍",Instagram
622,Aplikasi ini sangat membantu!,PlayStore
623,"Sering force close, mohon diperbaiki.",PlayStore
624,"Unboxing-nya estetik banget, suka 😍",Instagram
625,"Beli karena lihat di Twitter, worth it!",Twitter
626,Suka banget sama warnanya!,Instagram
627,"Promonya mantap, langsung checkout.",Twitter
628,"Produk datang tepat waktu, kualitas oke.",E-Commerce
629,Aplikasi ini sangat membantu!,PlayStore
630,"Unboxing-nya estetik banget, suka 😍",Instagram
631,"Beli karena lihat di Twitter, worth it!",Twitter
632,"Unboxing-nya estetik banget, suka 😍",Instagram
633,Beli karena lihat review di reels.,Instagram
634,"Sesuai deskripsi, sangat puas.",E-Commerce
635,Fiturnya lengkap dan mudah digunakan.,PlayStore
636,"Beli karena lihat di Twitter, worth it!",Twitter
637,Aplikasi ini sangat membantu!,PlayStore
638,"Beli karena lihat di Twitter, worth it!",Twitter
639,"Lihat di IG story teman, jadi penasaran.",Instagram
640,Harga terjangkau dan berkualitas.,E-Commerce
641,"Sesuai deskripsi, sangat puas.",E-Commerce
642,Aplikasi ini sangat membantu!,PlayStore
643,Cocok buat pelajar dan profesional.,PlayStore
644,"Unboxing-nya estetik banget, suka 😍",Instagram
645,Cocok buat pelajar dan profesional.,PlayStore
646,"Sering force close, mohon diperbaiki.",PlayStore
647,"Lihat di IG story teman, jadi penasaran.",Instagram
648,"Baru coba produk ini, ternyata oke juga!",Twitter
649,"Lihat di IG story teman, jadi penasaran.",Instagram
650,"Beli karena lihat di Twitter, worth it!",Twitter
651,Lagi rame bahas ini di timeline 😁,Twitter
652,"Produk datang tepat waktu, kualitas oke.",E-Commerce
653,User experience-nya beda dari yang lain.,Twitter
654,Harga terjangkau dan berkualitas.,E-Commerce
655,Beli karena lihat review di reels.,Instagram
656,"Baru coba produk ini, ternyata oke juga!",Twitter
657,"Produk datang tepat waktu, kualitas oke.",E-Commerce
658,Beli karena lihat review di reels.,Instagram
659,Desain UI sangat menarik.,PlayStore
660,Fiturnya lengkap dan mudah digunakan.,PlayStore
661,"Produk datang tepat waktu, kualitas oke.",E-Commerce
662,Fiturnya lengkap dan mudah digunakan.,PlayStore
663,"Barang cacat saat datang, kecewa.",E-Commerce
664,Desain UI sangat menarik.,PlayStore
665,"Lihat di IG story teman, jadi penasaran.",Instagram
666,Desain UI sangat menarik.,PlayStore
667,"Unboxing-nya estetik banget, suka 😍",Instagram
668,Desain UI sangat menarik.,PlayStore
669,"Barang cacat saat datang, kecewa.",E-Commerce
670,"Barang cacat saat datang, kecewa.",E-Commerce
671,"Lihat di IG story teman, jadi penasaran.",Instagram
672,"Promonya mantap, langsung checkout.",Twitter
673,Aplikasi ini sangat membantu!,PlayStore
674,"Lihat di IG story teman, jadi penasaran.",Instagram
675,Suka banget sama warnanya!,Instagram
676,Fiturnya lengkap dan mudah digunakan.,PlayStore
677,Fiturnya lengkap dan mudah digunakan.,PlayStore
678,"Beli karena lihat di Twitter, worth it!",Twitter
679,Lagi rame bahas ini di timeline 😁,Twitter
680,Desain UI sangat menarik.,PlayStore
681,"Promonya mantap, langsung checkout.",Twitter
682,Cocok buat pelajar dan profesional.,PlayStore
683,Beli karena lihat review di reels.,Instagram
684,Harga terjangkau dan berkualitas.,E-Commerce
685,Packing rapi dan pengiriman cepat.,E-Commerce
686,User experience-nya beda dari yang lain.,Twitter
687,"Sesuai deskripsi, sangat puas.",E-Commerce
688,Cocok buat pelajar dan profesional.,PlayStore
689,"Produk datang tepat waktu, kualitas oke.",E-Commerce
690,Cocok buat pelajar dan profesional.,PlayStore
691,Lagi rame bahas ini di timeline 😁,Twitter
692,Aplikasi ini sangat membantu!,PlayStore
693,"Promonya mantap, langsung checkout.",Twitter
694,"Beli karena lihat di Twitter, worth it!",Twitter
695,"Beli karena lihat di Twitter, worth it!",Twitter
696,"Promonya mantap, langsung checkout.",Twitter
697,Cocok buat pelajar dan profesional.,PlayStore
698,Harga terjangkau dan berkualitas.,E-Commerce
699,Harga terjangkau dan berkualitas.,E-Commerce
700,Packing rapi dan pengiriman cepat.,E-Commerce
701,"Sering force close, mohon diperbaiki.",PlayStore
702,Cocok buat pelajar dan profesional.,PlayStore
703,Beli karena lihat review di reels.,Instagram
704,User experience-nya beda dari yang lain.,Twitter
705,"Promonya mantap, langsung checkout.",Twitter
706,"Sesuai deskripsi, sangat puas.",E-Commerce
707,Suka banget sama warnanya!,Instagram
708,"Sering force close, mohon diperbaiki.",PlayStore
709,"Produk datang tepat waktu, kualitas oke.",E-Commerce
710,Produk ini viral banget di Instagram!,Instagram
711,"Baru coba produk ini, ternyata oke juga!",Twitter
712,Harga terjangkau dan berkualitas.,E-Commerce
713,Cocok buat pelajar dan profesional.,PlayStore
714,"Beli karena lihat di Twitter, worth it!",Twitter
715,"Baru coba produk ini, ternyata oke juga!",Twitter
716,Harga terjangkau dan berkualitas.,E-Commerce
717,"Promonya mantap, langsung checkout.",Twitter
718,Desain UI sangat menarik.,PlayStore
719,User experience-nya beda dari yang lain.,Twitter
720,"Unboxing-nya estetik banget, suka 😍",Instagram
721,Lagi rame bahas ini di timeline 😁,Twitter
722,Beli karena lihat review di reels.,Instagram
723,"Sesuai deskripsi, sangat puas.",E-Commerce
724,Fiturnya lengkap dan mudah digunakan.,PlayStore
725,"Baru coba produk ini, ternyata oke juga!",Twitter
726,Desain UI sangat menarik.,PlayStore
727,Suka banget sama warnanya!,Instagram
728,Aplikasi ini sangat membantu!,PlayStore
729,Produk ini viral banget di Instagram!,Instagram
730,"Baru coba produk ini, ternyata oke juga!",Twitter
731,Lagi rame bahas ini di timeline 😁,Twitter
732,Lagi rame bahas ini di timeline 😁,Twitter
733,"Lihat di IG story teman, jadi penasaran.",Instagram
734,"Promonya mantap, langsung checkout.",Twitter
735,Packing rapi dan pengiriman cepat.,E-Commerce
736,Packing rapi dan pengiriman cepat.,E-Commerce
737,"Promonya mantap, langsung checkout.",Twitter
738,"Promonya mantap, langsung checkout.",Twitter
739,"Barang cacat saat datang, kecewa.",E-Commerce
740,Packing rapi dan pengiriman cepat.,E-Commerce
741,"Beli karena lihat di Twitter, worth it!",Twitter
742,Cocok buat pelajar dan profesional.,PlayStore
743,Suka banget sama warnanya!,Instagram
744,Desain UI sangat menarik.,PlayStore
745,Aplikasi ini sangat membantu!,PlayStore
746,Cocok buat pelajar dan profesional.,PlayStore
747,Lagi rame bahas ini di timeline 😁,Twitter
748,User experience-nya beda dari yang lain.,Twitter
749,"Lihat di IG story teman, jadi penasaran.",Instagram
750,"Lihat di IG story teman, jadi penasaran.",Instagram
751,"Baru coba produk ini, ternyata oke juga!",Twitter
752,"Sesuai deskripsi, sangat puas.",E-Commerce
753,"Sesuai deskripsi, sangat puas.",E-Commerce
754,"Unboxing-nya estetik banget, suka 😍",Instagram
755,Aplikasi ini sangat membantu!,PlayStore
756,"Produk datang tepat waktu, kualitas oke.",E-Commerce
757,User experience-nya beda dari yang lain.,Twitter
758,"Lihat di IG story teman, jadi penasaran.",Instagram
759,User experience-nya beda dari yang lain.,Twitter
760,"Unboxing-nya estetik banget, suka 😍",Instagram
761,Cocok buat pelajar dan profesional.,PlayStore
762,"Produk datang tepat waktu, kualitas oke.",E-Commerce
763,"Barang cacat saat datang, kecewa.",E-Commerce
764,Harga terjangkau dan berkualitas.,E-Commerce
765,"Sering force close, mohon diperbaiki.",PlayStore
766,Packing rapi dan pengiriman cepat.,E-Commerce
767,Suka banget sama warnanya!,Instagram
768,Lagi rame bahas ini di timeline 😁,Twitter
769,Suka banget sama warnanya!,Instagram
770,"Produk datang tepat waktu, kualitas oke.",E-Commerce
771,"Barang cacat saat datang, kecewa.",E-Commerce
772,"Produk datang tepat waktu, kualitas oke.",E-Commerce
773,"Baru coba produk ini, ternyata oke juga!",Twitter
774,Beli karena lihat review di reels.,Instagram
775,"Baru coba produk ini, ternyata oke juga!",Twitter
776,"Sesuai deskripsi, sangat puas.",E-Commerce
777,"Sering force close, mohon diperbaiki.",PlayStore
778,Lagi rame bahas ini di timeline 😁,Twitter
779,"Sering force close, mohon diperbaiki.",PlayStore
780,"Beli karena lihat di Twitter, worth it!",Twitter
781,"Barang cacat saat datang, kecewa.",E-Commerce
782,"Lihat di IG story teman, jadi penasaran.",Instagram
783,Harga terjangkau dan berkualitas.,E-Commerce
784,"Lihat di IG story teman, jadi penasaran.",Instagram
785,"Baru coba produk ini, ternyata oke juga!",Twitter
786,Lagi rame bahas ini di timeline 😁,Twitter
787,User experience-nya beda dari yang lain.,Twitter
788,"Barang cacat saat datang, kecewa.",E-Commerce
789,Suka banget sama warnanya!,Instagram
790,"Beli karena lihat di Twitter, worth it!",Twitter
791,"Barang cacat saat datang, kecewa.",E-Commerce
792,"Promonya mantap, langsung checkout.",Twitter
793,Aplikasi ini sangat membantu!,PlayStore
794,"Barang cacat saat datang, kecewa.",E-Commerce
795,Suka banget sama warnanya!,Instagram
796,"Lihat di IG story teman, jadi penasaran.",Instagram
797,"Lihat di IG story teman, jadi penasaran.",Instagram
798,"Promonya mantap, langsung checkout.",Twitter
799,Lagi rame bahas ini di timeline 😁,Twitter
800,Produk ini viral banget di Instagram!,Instagram
801,Fiturnya lengkap dan mudah digunakan.,PlayStore
802,Packing rapi dan pengiriman cepat.,E-Commerce
803,"Produk datang tepat waktu, kualitas oke.",E-Commerce
804,"Sesuai deskripsi, sangat puas.",E-Commerce
805,Packing rapi dan pengiriman cepat.,E-Commerce
806,Beli karena lihat review di reels.,Instagram
807,"Sesuai deskripsi, sangat puas.",E-Commerce
808,Suka banget sama warnanya!,Instagram
809,Cocok buat pelajar dan profesional.,PlayStore
810,"Barang cacat saat datang, kecewa.",E-Commerce
811,"Promonya mantap, langsung checkout.",Twitter
812,Produk ini viral banget di Instagram!,Instagram
813,Aplikasi ini sangat membantu!,PlayStore
814,"Unboxing-nya estetik banget, suka 😍",Instagram
815,Packing rapi dan pengiriman cepat.,E-Commerce
816,"Sering force close, mohon diperbaiki.",PlayStore
817,"Barang cacat saat datang, kecewa.",E-Commerce
818,"Unboxing-nya estetik banget, suka 😍",Instagram
819,"Lihat di IG story teman, jadi penasaran.",Instagram
820,Cocok buat pelajar dan profesional.,PlayStore
821,"Unboxing-nya estetik banget, suka 😍",Instagram
822,Aplikasi ini sangat membantu!,PlayStore
823,"Sesuai deskripsi, sangat puas.",E-Commerce
824,Beli karena lihat review di reels.,Instagram
825,User experience-nya beda dari yang lain.,Twitter
826,Cocok buat pelajar dan profesional.,PlayStore
827,Fiturnya lengkap dan mudah digunakan.,PlayStore
828,Suka banget sama warnanya!,Instagram
829,"Promonya mantap, langsung checkout.",Twitter
830,"Unboxing-nya estetik banget, suka 😍",Instagram
831,"Unboxing-nya estetik banget, suka 😍",Instagram
832,Aplikasi ini sangat membantu!,PlayStore
833,"Lihat di IG story teman, jadi penasaran.",Instagram
834,Cocok buat pelajar dan profesional.,PlayStore
835,"Baru coba produk ini, ternyata oke juga!",Twitter
836,"Unboxing-nya estetik banget, suka 😍",Instagram
837,Lagi rame bahas ini di timeline 😁,Twitter
838,"Barang cacat saat datang, kecewa.",E-Commerce
839,User experience-nya beda dari yang lain.,Twitter
840,"Lihat di IG story teman, jadi penasaran.",Instagram
841,"Sesuai deskripsi, sangat puas.",E-Commerce
842,"Produk datang tepat waktu, kualitas oke.",E-Commerce
843,Produk ini viral banget di Instagram!,Instagram
844,Desain UI sangat menarik.,PlayStore
845,"Produk datang tepat waktu, kualitas oke.",E-Commerce
846,Fiturnya lengkap dan mudah digunakan.,PlayStore
847,"Barang cacat saat datang, kecewa.",E-Commerce
848,"Unboxing-nya estetik banget, suka 😍",Instagram
849,Packing rapi dan pengiriman cepat.,E-Commerce
850,Aplikasi ini sangat membantu!,PlayStore
851,Beli karena lihat review di reels.,Instagram
852,Aplikasi ini sangat membantu!,PlayStore
853,"Sesuai deskripsi, sangat puas.",E-Commerce
854,Harga terjangkau dan berkualitas.,E-Commerce
855,Lagi rame bahas ini di timeline 😁,Twitter
856,Lagi rame bahas ini di timeline 😁,Twitter
857,"Unboxing-nya estetik banget, suka 😍",Instagram
858,"Produk datang tepat waktu, kualitas oke.",E-Commerce
859,Packing rapi dan pengiriman cepat.,E-Commerce
860,User experience-nya beda dari yang lain.,Twitter
861,Desain UI sangat menarik.,PlayStore
862,"Unboxing-nya estetik banget, suka 😍",Instagram
863,"Unboxing-nya estetik banget, suka 😍",Instagram
864,Fiturnya lengkap dan mudah digunakan.,PlayStore
865,"Promonya mantap, langsung checkout.",Twitter
866,"Unboxing-nya estetik banget, suka 😍",Instagram
867,"Baru coba produk ini, ternyata oke juga!",Twitter
868,"Baru coba produk ini, ternyata oke juga!",Twitter
869,"Produk datang tepat waktu, kualitas oke.",E-Commerce
870,"Sesuai deskripsi, sangat puas.",E-Commerce
871,"Produk datang tepat waktu, kualitas oke.",E-Commerce
872,"Beli karena lihat di Twitter, worth it!",Twitter
873,Harga terjangkau dan berkualitas.,E-Commerce
874,"Baru coba produk ini, ternyata oke juga!",Twitter
875,Produk ini viral banget di Instagram!,Instagram
876,"Beli karena lihat di Twitter, worth it!",Twitter
877,Aplikasi ini sangat membantu!,PlayStore
878,Harga terjangkau dan berkualitas.,E-Commerce
879,Desain UI sangat menarik.,PlayStore
880,Packing rapi dan pengiriman cepat.,E-Commerce
881,"Sesuai deskripsi, sangat puas.",E-Commerce
882,"Promonya mantap, langsung checkout.",Twitter
883,Packing rapi dan pengiriman cepat.,E-Commerce
884,"Baru coba produk ini, ternyata oke juga!",Twitter
885,Packing rapi dan pengiriman cepat.,E-Commerce
886,"Sering force close, mohon diperbaiki.",PlayStore
887,"Beli karena lihat di Twitter, worth it!",Twitter
888,Produk ini viral banget di Instagram!,Instagram
889,"Unboxing-nya estetik banget, suka 😍",Instagram
890,"Sesuai deskripsi, sangat puas.",E-Commerce
891,Harga terjangkau dan berkualitas.,E-Commerce
892,"Produk datang tepat waktu, kualitas oke.",E-Commerce
893,"Produk datang tepat waktu, kualitas oke.",E-Commerce
894,User experience-nya beda dari yang lain.,Twitter
895,Aplikasi ini sangat membantu!,PlayStore
896,Lagi rame bahas ini di timeline 😁,Twitter
897,Lagi rame bahas ini di timeline 😁,Twitter
898,Packing rapi dan pengiriman cepat.,E-Commerce
899,Cocok buat pelajar dan profesional.,PlayStore
900,Produk ini viral banget di Instagram!,Instagram
901,"Produk datang tepat waktu, kualitas oke.",E-Commerce
902,Produk ini viral banget di Instagram!,Instagram
903,Lagi rame bahas ini di timeline 😁,Twitter
904,Suka banget sama warnanya!,Instagram
905,"Beli karena lihat di Twitter, worth it!",Twitter
906,Produk ini viral banget di Instagram!,Instagram
907,User experience-nya beda dari yang lain.,Twitter
908,Produk ini viral banget di Instagram!,Instagram
909,Harga terjangkau dan berkualitas.,E-Commerce
910,User experience-nya beda dari yang lain.,Twitter
911,Harga terjangkau dan berkualitas.,E-Commerce
912,Aplikasi ini sangat membantu!,PlayStore
913,"Barang cacat saat datang, kecewa.",E-Commerce
914,Produk ini viral banget di Instagram!,Instagram
915,"Sering force close, mohon diperbaiki.",PlayStore
916,"Beli karena lihat di Twitter, worth it!",Twitter
917,"Lihat di IG story teman, jadi penasaran.",Instagram
918,Harga terjangkau dan berkualitas.,E-Commerce
919,"Unboxing-nya estetik banget, suka 😍",Instagram
920,"Barang cacat saat datang, kecewa.",E-Commerce
921,Fiturnya lengkap dan mudah digunakan.,PlayStore
922,Cocok buat pelajar dan profesional.,PlayStore
923,"Barang cacat saat datang, kecewa.",E-Commerce
924,Fiturnya lengkap dan mudah digunakan.,PlayStore
925,"Unboxing-nya estetik banget, suka 😍",Instagram
926,Harga terjangkau dan berkualitas.,E-Commerce
927,"Unboxing-nya estetik banget, suka 😍",Instagram
928,Packing rapi dan pengiriman cepat.,E-Commerce
929,"Promonya mantap, langsung checkout.",Twitter
930,"Baru coba produk ini, ternyata oke juga!",Twitter
931,"Baru coba produk ini, ternyata oke juga!",Twitter
932,Harga terjangkau dan berkualitas.,E-Commerce
933,Desain UI sangat menarik.,PlayStore
934,User experience-nya beda dari yang lain.,Twitter
935,Harga terjangkau dan berkualitas.,E-Commerce
936,"Sesuai deskripsi, sangat puas.",E-Commerce
937,"Lihat di IG story teman, jadi penasaran.",Instagram
938,"Produk datang tepat waktu, kualitas oke.",E-Commerce
939,Desain UI sangat menarik.,PlayStore
940,"Baru coba produk ini, ternyata oke juga!",Twitter
941,"Beli karena lihat di Twitter, worth it!",Twitter
942,"Sering force close, mohon diperbaiki.",PlayStore
943,Desain UI sangat menarik.,PlayStore
944,Aplikasi ini sangat membantu!,PlayStore
945,"Beli karena lihat di Twitter, worth it!",Twitter
946,Beli karena lihat review di reels.,Instagram
947,"Promonya mantap, langsung checkout.",Twitter
948,"Sering force close, mohon diperbaiki.",PlayStore
949,Suka banget sama warnanya!,Instagram
950,Suka banget sama warnanya!,Instagram
951,"Lihat di IG story teman, jadi penasaran.",Instagram
952,User experience-nya beda dari yang lain.,Twitter
953,"Promonya mantap, langsung checkout.",Twitter
954,Desain UI sangat menarik.,PlayStore
955,Aplikasi ini sangat membantu!,PlayStore
956,Aplikasi ini sangat membantu!,PlayStore
957,Cocok buat pelajar dan profesional.,PlayStore
958,"Promonya mantap, langsung checkout.",Twitter
959,Aplikasi ini sangat membantu!,PlayStore
960,"Barang cacat saat datang, kecewa.",E-Commerce
961,"Promonya mantap, langsung checkout.",Twitter
962,"Baru coba produk ini, ternyata oke juga!",Twitter
963,Harga terjangkau dan berkualitas.,E-Commerce
964,Harga terjangkau dan berkualitas.,E-Commerce
965,"Lihat di IG story teman, jadi penasaran.",Instagram
966,User experience-nya beda dari yang lain.,Twitter
967,Aplikasi ini sangat membantu!,PlayStore
968,"Produk datang tepat waktu, kualitas oke.",E-Commerce
969,"Sering force close, mohon diperbaiki.",PlayStore
970,Suka banget sama warnanya!,Instagram
971,Aplikasi ini sangat membantu!,PlayStore
972,Produk ini viral banget di Instagram!,Instagram
973,"Barang cacat saat datang, kecewa.",E-Commerce
974,Fiturnya lengkap dan mudah digunakan.,PlayStore
975,Packing rapi dan pengiriman cepat.,E-Commerce
976,"Produk datang tepat waktu, kualitas oke.",E-Commerce
977,Suka banget sama warnanya!,Instagram
978,Fiturnya lengkap dan mudah digunakan.,PlayStore
979,Cocok buat pelajar dan profesional.,PlayStore
980,Cocok buat pelajar dan profesional.,PlayStore
981,"Sering force close, mohon diperbaiki.",PlayStore
982,Desain UI sangat menarik.,PlayStore
983,Harga terjangkau dan berkualitas.,E-Commerce
984,"Produk datang tepat waktu, kualitas oke.",E-Commerce
985,"Lihat di IG story teman, jadi penasaran.",Instagram
986,Aplikasi ini sangat membantu!,PlayStore
987,User experience-nya beda dari yang lain.,Twitter
988,"Sering force close, mohon diperbaiki.",PlayStore
989,"Barang cacat saat datang, kecewa.",E-Commerce
990,"Sesuai deskripsi, sangat puas.",E-Commerce
991,"Lihat di IG story teman, jadi penasaran.",Instagram
992,Packing rapi dan pengiriman cepat.,E-Commerce
993,Harga terjangkau dan berkualitas.,E-Commerce
994,"Unboxing-nya estetik banget, suka 😍",Instagram
995,Cocok buat pelajar dan profesional.,PlayStore
996,Cocok buat pelajar dan profesional.,PlayStore
997,Desain UI sangat menarik.,PlayStore
998,User experience-nya beda dari yang lain.,Twitter
999,Fiturnya lengkap dan mudah digunakan.,PlayStore
1000,Lagi rame bahas ini di timeline 😁,Twitter
1001,Beli karena lihat review di reels.,Instagram
1002,Desain UI sangat menarik.,PlayStore
1003,"Beli karena lihat di Twitter, worth it!",Twitter
1004,"Lihat di IG story teman, jadi penasaran.",Instagram
1005,Suka banget sama warnanya!,Instagram
1006,"Sering force close, mohon diperbaiki.",PlayStore
1007,Packing rapi dan pengiriman cepat.,E-Commerce
1008,Cocok buat pelajar dan profesional.,PlayStore
1009,Produk ini viral banget di Instagram!,Instagram
1010,"Baru coba produk ini, ternyata oke juga!",Twitter
1011,"Sering force close, mohon diperbaiki.",PlayStore
1012,"Baru coba produk ini, ternyata oke juga!",Twitter
1013,"Barang cacat saat datang, kecewa.",E-Commerce
1014,User experience-nya beda dari yang lain.,Twitter
1015,"Barang cacat saat datang, kecewa.",E-Commerce
1016,"Unboxing-nya estetik banget, suka 😍",Instagram
1017,Fiturnya lengkap dan mudah digunakan.,PlayStore
1018,Cocok buat pelajar dan profesional.,PlayStore
1019,Lagi rame bahas ini di timeline 😁,Twitter
1020,Lagi rame bahas ini di timeline 😁,Twitter
1021,"Baru coba produk ini, ternyata oke juga!",Twitter
1022,Beli karena lihat review di reels.,Instagram
1023,Fiturnya lengkap dan mudah digunakan.,PlayStore
1024,Desain UI sangat menarik.,PlayStore
1025,"Promonya mantap, langsung checkout.",Twitter
1026,Fiturnya lengkap dan mudah digunakan.,PlayStore
1027,User experience-nya beda dari yang lain.,Twitter
1028,Fiturnya lengkap dan mudah digunakan.,PlayStore
1029,Lagi rame bahas ini di timeline 😁,Twitter
1030,"Baru coba produk ini, ternyata oke juga!",Twitter
1031,"Sesuai deskripsi, sangat puas.",E-Commerce
1032,Lagi rame bahas ini di timeline 😁,Twitter
1033,Cocok buat pelajar dan profesional.,PlayStore
1034,"Unboxing-nya estetik banget, suka 😍",Instagram
1035,User experience-nya beda dari yang lain.,Twitter
1036,Desain UI sangat menarik.,PlayStore
1037,Cocok buat pelajar dan profesional.,PlayStore
1038,"Baru coba produk ini, ternyata oke juga!",Twitter
1039,Packing rapi dan pengiriman cepat.,E-Commerce
1040,"Lihat di IG story teman, jadi penasaran.",Instagram
1041,"Unboxing-nya estetik banget, suka 😍",Instagram
1042,"Sering force close, mohon diperbaiki.",PlayStore
1043,Suka banget sama warnanya!,Instagram
1044,"Unboxing-nya estetik banget, suka 😍",Instagram
1045,"Unboxing-nya estetik banget, suka 😍",Instagram
1046,Packing rapi dan pengiriman cepat.,E-Commerce
1047,"Lihat di IG story teman, jadi penasaran.",Instagram
1048,Beli karena lihat review di reels.,Instagram
1049,Packing rapi dan pengiriman cepat.,E-Commerce
1050,User experience-nya beda dari yang lain.,Twitter
1051,Aplikasi ini sangat membantu!,PlayStore
1052,"Baru coba produk ini, ternyata oke juga!",Twitter
1053,Packing rapi dan pengiriman cepat.,E-Commerce
1054,User experience-nya beda dari yang lain.,Twitter
1055,"Unboxing-nya estetik banget, suka 😍",Instagram
1056,"Baru coba produk ini, ternyata oke juga!",Twitter
1057,Harga terjangkau dan berkualitas.,E-Commerce
1058,"Promonya mantap, langsung checkout.",Twitter
1059,"Lihat di IG story teman, jadi penasaran.",Instagram
1060,Fiturnya lengkap dan mudah digunakan.,PlayStore
1061,"Barang cacat saat datang, kecewa.",E-Commerce
1062,Packing rapi dan pengiriman cepat.,E-Commerce
1063,"Unboxing-nya estetik banget, suka 😍",Instagram
1064,"Promonya mantap, langsung checkout.",Twitter
1065,Aplikasi ini sangat membantu!,PlayStore
1066,Packing rapi dan pengiriman cepat.,E-Commerce
1067,Packing rapi dan pengiriman cepat.,E-Commerce
1068,Produk ini viral banget di Instagram!,Instagram
1069,Desain UI sangat menarik.,PlayStore
1070,Produk ini viral banget di Instagram!,Instagram
1071,"Sesuai deskripsi, sangat puas.",E-Commerce
1072,Packing rapi dan pengiriman cepat.,E-Commerce
1073,"Sesuai deskripsi, sangat puas.",E-Commerce
1074,User experience-nya beda dari yang lain.,Twitter
1075,Beli karena lihat review di reels.,Instagram
1076,"Sering force close, mohon diperbaiki.",PlayStore
1077,Suka banget sama warnanya!,Instagram
1078,Packing rapi dan pengiriman cepat.,E-Commerce
1079,Beli karena lihat review di reels.,Instagram
1080,Packing rapi dan pengiriman cepat.,E-Commerce
1081,Beli karena lihat review di reels.,Instagram
1082,"Lihat di IG story teman, jadi penasaran.",Instagram
1083,Packing rapi dan pengiriman cepat.,E-Commerce
1084,"Lihat di IG story teman, jadi penasaran.",Instagram
1085,Produk ini viral banget di Instagram!,Instagram
